122,1310,1554457,17782,16472,152,-85,0,0,-102,20164968,267887,156453,20589308,0.78,0.79,565,358,30,14394,177,6482343,0.22,96,70,0,1675,26,0.12,195
122,203,1554660,17086,16883,2736,-300,0,0,3089,20167703,267587,157106,20592396,0.78,0.79,924,505,2,14811,417,6482343,0.23,47,142,0,1580,-95,0.11,136
123,-526,1554134,20413,20939,-2912,-1,0,0,-2151,20164791,267586,157868,20590245,0.78,0.79,1092,432,0,15471,660,6482343,0.24,73,132,1,1520,-60,0.1,69
123.5,6885,1561019,13166,6281,2614,-546,0,0,1948,20167405,267040,157748,20592193,0.78,0.79,804,858,0,15417,-54,6482343,0.24,479,57,0,1942,422,0.13,139
124,4293,1565312,13672,9379,-4667,-413,0,0,-5131,20162738,266627,157697,20587062,0.78,0.79,71,454,8,15026,-391,6482343,0.23,224,173,0,1993,51,0.13,85
122,8844,1574156,23352,14508,9736,-850,0,0,9190,20172472,265777,158001,20596250,0.78,0.79,381,829,0,14578,-448,6482343,0.22,333,275,0,2051,58,0.14,135
119.5,2313,1576469,21529,19216,10308,-263,0,0,11167,20182780,265514,159123,20607417,0.78,0.79,760,1039,0,14299,-279,6482343,0.22,51,477,0,1625,-426,0.11,56
122.5,-13606,1562863,22678,36284,-11234,-1306,0,0,-11859,20171546,264208,159804,20595558,0.78,0.79,1739,49,0,15989,1690,6482343,0.25,102,360,0,1367,-258,0.09,32
123.5,3637,1566500,17937,14300,9186,-2078,0,0,7071,20180732,262130,159767,20602629,0.78,0.79,208,755,1,15441,-548,6482343,0.24,154,82,0,1439,72,0.09,184
123,9321,1575821,21160,11839,20150,-287,0,0,18882,20200882,261843,158786,20621511,0.78,0.8,187,995,1,14632,-809,6482343,0.23,302,13,3,1725,286,0.12,143
122.5,-433,1575388,10643,11076,-3286,-674,0,0,-4593,20197596,261169,158153,20616918,0.78,0.8,237,100,0,14768,136,6482343,0.23,19,153,0,1591,-134,0.11,3
123,-3,1575385,12356,12359,-2346,-563,0,0,-3214,20195222,260606,157848,20613676,0.78,0.79,318,371,3,14712,-56,6482343,0.23,47,33,0,1605,14,0.11,105
124.5,-199,1575186,9959,10158,-1376,-589,0,0,-1673,20193846,260017,158140,20612003,0.78,0.79,326,527,0,14511,-201,6482343,0.22,118,16,0,1707,102,0.12,35
125,5762,1580948,18356,12594,7199,-734,0,0,6495,20199812,259283,158170,20617265,0.78,0.8,90,526,3,14072,-439,6482343,0.22,286,26,1,1966,259,0.14,42
123.5,9256,1590204,20856,11600,8927,-1296,0,0,6567,20208582,257987,157106,20623675,0.78,0.8,84,782,2,13372,-700,6482343,0.21,460,56,0,2370,404,0.18,25
123,25,1590229,10979,10954,-1358,-2752,0,0,-4251,20207224,255235,156965,20619424,0.78,0.8,222,286,0,13308,-64,6482343,0.21,27,508,0,1889,-481,0.14,27
124,-393,1589836,9506,9899,-2369,-662,0,0,-3098,20204855,254573,156898,20616326,0.78,0.8,256,259,0,13305,-3,6482343,0.21,29,113,0,1805,-84,0.14,71
125,1221,1591057,8507,7286,1488,-908,0,0,551,20192011,253665,156869,20602545,0.78,0.79,243,516,0,13032,-273,6482343,0.2,306,105,4,2002,197,0.15,5
125.5,5728,1596785,11446,5718,6649,-431,0,0,7490,20144192,253234,158141,20555567,0.78,0.79,99,304,0,12827,-205,6482343,0.2,236,126,0,2112,110,0.16,27
126,10797,1607582,27585,16788,15055,-415,0,0,12661,20146890,252819,156162,20555871,0.78,0.79,210,840,65,12132,-695,6482343,0.19,821,62,0,2871,759,0.24,119
124.5,-92,1607490,8949,9041,678,-66,0,0,998,20128853,252753,156548,20538154,0.78,0.79,383,134,10,12371,239,6482343,0.19,39,407,2,2501,-370,0.2,80
123,-3058,1604432,17647,20705,-739,-1026,0,0,-1128,20104123,251727,157185,20513035,0.78,0.79,642,738,3,12272,-99,6482343,0.19,25,547,1,1978,-523,0.16,101
123,-6123,1598309,8732,14855,-1248,-260,0,0,-920,20094075,251467,157773,20503315,0.77,0.79,1702,122,0,13852,1580,6482343,0.21,22,279,0,1721,-257,0.12,110
123.5,-7899,1590410,14634,22533,-1172,-322,0,0,1752,20072171,251145,161019,20484335,0.77,0.79,1583,172,20,15243,1391,6482343,0.24,21,232,0,1510,-211,0.1,104
124.5,-2681,1587729,18923,21604,5143,274,0,0,8204,20077319,251419,163806,20492544,0.77,0.79,850,1097,1,14995,-248,6482343,0.23,89,32,0,1567,57,0.1,66
125.5,-930,1586799,20483,21413,4192,1323,0,0,6185,20081433,252742,164476,20498651,0.77,0.79,367,719,1,14642,-353,6482343,0.23,21,57,1,1530,-37,0.1,276
126.5,7974,1594773,34317,26343,9595,213,0,0,9874,20085269,252955,164542,20502766,0.77,0.79,294,1371,1,13564,-1078,6482343,0.21,456,31,0,1955,425,0.14,34
128,3767,1598540,16775,13008,1970,321,0,0,2362,20088351,377487,164613,20630451,0.77,0.8,671,718,1,13516,-48,6482343,0.21,131,83,0,2003,48,0.15,46
132.5,3721,1602261,17193,13472,-4819,149,0,0,-4123,20083235,377636,165160,20626031,0.77,0.8,391,744,6,13157,-359,6482343,0.2,129,165,0,1967,-36,0.15,96
